Name,Curators Note,Dietary Preference,Link,Must Try,Recommended Time,Tags,Ticket Price,Timings,Trivia
"Tina’s Cafe ","Very homely and healthy food. I love going here when I get bored of cafe food, which is always. ","Veg, non veg","https://www.google.com/maps/place/Tina's+Caf%C3%A9/@12.3280537,76.6260645,17z/data=!4m6!3m5!1s0x3baf7a8f4165c75f:0x83871a80344d756f!8m2!3d12.3280485!4d76.6286394!16s%2Fg%2F1tk89kv4?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Parottas, chicken curry, egg burji.",Anytime.,Food,,They are open from 11:30 am–3 pm and 5:30–9:30 pm. They are closed on Sundays.,Tina began serving meals to yoga students and is a key figure in Gokulam's food scene. Her cafe serves the yoga community with daily menus based on fresh market produce. So the menu changes everyday. They have a chant playing in the restaurant everyday that I personally find very calming.
"Roy’s Cafe ",A really nice dog called momo lives here. Please say hi and give her lots of pets.,"Veg, non veg","https://www.google.com/maps/place/Roy's+Cafe/@12.3295654,76.0205698,10z/data=!4m6!3m5!1s0x3baf7a904b7a8a0b:0x1d5fc7de857f9618!8m2!3d12.3295654!4d76.630311!16s%2Fg%2F11gb4107_b?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,Afternoons.,Food,,12 pm – 10:30 pm,
Amruth Gobi,"Best Gobi ever. Its sweet, spicy and crispy at the same time.",Veg,"https://www.google.com/maps/place/Amruth+Gobi+centre/@12.2862709,76.5899634,14z/data=!4m7!3m6!1s0x3baf6554f27b9037:0x84a947b145bd4cac!8m2!3d12.2739356!4d76.6228544!15sCgthbXJ1dGggR29iaVoNIgthbXJ1dGggZ29iaZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50qgEzEAEyHhABIhqaHMOBcDya47ULIvVa102axQ1kV9fDLWN3XTIPEAIiC2FtcnV0aCBnb2Jp4AEA!16s%2Fg%2F11vhtg78t3?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=e3423cd9-7ede-4a45-833a-8a4cc2951130",Gobi Manchurian and dry Gobi with green chutney.,Evenings.,Food,,5:30 pm – 10:40 pm,
Dosa Point,"It’s on a shopping street. When my mom and I go shopping, we like to end the night by getting dinner here. You have sit on the street and I eat. There is a sweet shop next to it, so we get cold badam milk there and end the night.",Veg,"https://www.google.com/maps/place/Shree+Dosa+Point/@12.3238705,76.6204894,15z/data=!4m6!3m5!1s0x3baf700bbd122a1d:0xb2c2108bcac53398!8m2!3d12.3096294!4d76.6455935!16s%2Fg%2F124yhg_89?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Masala Dosa,"Breakfast and night. ",Food,,8 am – 10 pm,
Kings Coffee,"My favorite filter coffee place. They are a Mysore born franchise. A woman started this business and expanded to 17 location across the city, I will always support this.",Veg,"https://www.google.com/maps/place/KING'S+COFFEE+CO.Chamundipura+%7C+%E0%B2%95%E0%B2%BF%E0%B2%82%E0%B2%97%E0%B3%8D%E0%B2%B8%E0%B3%8D+%E0%B2%95%E0%B2%BE%E0%B2%AB%E0%B2%BF+%E0%B2%95%E0%B3%8B.+%E0%B2%9A%E0%B2%BE%E0%B2%AE%E0%B3%81%E0%B2%82%E0%B2%A1%E0%B2%BF%E0%B2%AA%E0%B3%81%E0%B2%B0/@12.2880239,76.6112314,14z/data=!4m6!3m5!1s0x3baf6f6f9e7fef9b:0x4770fa4034fc61cb!8m2!3d12.2880239!4d76.6493402!16s%2Fg%2F11w42bx77s?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Filter Coffee, Maggie and literally everything here is great.",Morning and evenings.,"Coffee, Food",,7 am – 9:30 pm,
Mysore Refreshments,"My go to. Good place to go if you are in a car. They serve food directly to your car. My parents and I love stopping here. if we are out in the city in a car. I have a fav seat inside the place where you can watch the giraffes at the zoo while enjoying a yummy dosa. It get very crowded in the afternoon and during summer holidays because lots of kids come to zoo on vacation and tourist eat here a lot. ",Veg,"https://www.google.com/maps/place/New+Mysore+Refreshments/@12.3027175,76.6602986,17z/data=!4m6!3m5!1s0x3baf701876736547:0xa0a42e1b3bf20dc6!8m2!3d12.3016839!4d76.6640605!16s%2Fg%2F1tm283ss?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Masala dosa,"Early breakfast and late dinner. ",Food,,7:30 am–10 pm,
GTR Dosa,"In my top 5 dosa places. ",Veg,"https://www.google.com/maps/place/Sri+Gayatri+Tiffin+Room+(GTR)+-+Vegetarian+Restaurant/@12.2880625,76.6469805,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf6ffdacedee1b:0xacd6c0ddfc1c8529!8m2!3d12.2880573!4d76.6495554!16s%2Fg%2F1v44nw5h?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=270a90b1-5f06-4dc1-a94f-cc4a88826390","Masala Dosa, Goli Bajji, Kersai Bath, Uddin Vada, Filter Coffee","On weekdays, for breakfast. On weekends, evenings because there is a crowd in the morning.",Food,,They are closed on Mondays. The other days they are open from 7–11 am and 3:30–8 pm.,"GTR was started in 1940 and it was actually called ""Brahmanara Palahara Mandira"" (people use to call it as Bhatru Hotel). Subbaraya Bhatru and his wife Kamalamma. He was a really good chef and owned three restaurants and a sweet stall in Udupi before moving to Mysore. Started it in a building opposite the current restaurant. They served Idly and Dose on banana leaves and customers would sit on the floor and eat it. In 1950, the current building was purchased and renamed Gayathri Tiffin Room. Now the restaurant is run by the grandson of the founder, Vijayendra. He has also started ""GTR Delite"" on the first floor, which serves North Indian and South Indian meals."
Lemon tree,"Best shawarma in the city. ","Veg, non veg","https://www.google.com/maps/place/Lemon+Three+Restaurant/@12.3164125,76.6308386,14z/data=!4m7!3m6!1s0x3baf71fa91658b61:0x19f04dc9a8fb6d2f!8m2!3d12.3067512!4d76.6852995!15sChFsZW1vbiB0cmVlIG15c29yZVoTIhFsZW1vbiB0cmVlIG15c29yZZIBEmJpcnlhbmlfcmVzdGF1cmFudOABAA!16s%2Fg%2F11fk1lr155?entry=tts&g_ep=EgoyMDI1MTAyOS4yIPu8ASoASAFQAw%3D%3D&skid=8775b7cb-49e7-417a-9dc1-4fce510e02b4",Shawarma.,Evenings.,Food,,12 pm – 11 pm,
Leaven Bakery,"Such a nice place. Beautifully designed. ",,"https://www.google.com/maps/place/Leaven+Bakery+and+Coffee+House/@12.3231725,76.6328919,18z/data=!4m6!3m5!1s0x3baf7b004a8a38bd:0x70d3d98247253223!8m2!3d12.3231726!4d76.6352737!16s%2Fg%2F11wx9wxkmj?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Vanilla coffee, Ginger rumble, and love the desserts.",Lots a good sunlight here. Best to go before the traffic on the street gets too loud.,"Coffee, Food",,11 am – 9 pm. They are closed on Tuesdays.,
Frosting,They have outdoor seating and cold beer on tap. They also play good Italian music. There are some cats that live in the property.,"Veg, non veg","https://www.google.com/maps/place/Frosting+-+Italian+Restaurant+%26+Beer+on+Tap/@12.3226864,76.633915,18z/data=!3m1!4b1!4m6!3m5!1s0x3baf7a9b5ee1cb4f:0x21108258b080b91d!8m2!3d12.3226838!4d76.6352025!16s%2Fg%2F11dfjx_m24?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Full english breakfast.,I like going here for brunch.,"Drinks, Food",,8:30 am–11 pm,
Nandi Bull," The bull was also recently cleaned completely, a few years ago it was all black now you can see the original stone color. And also, DO NOT LITTER.",,"https://www.google.com/maps/place/Nandi+Statue/@12.2795282,76.6654056,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf6f448e8ed143:0x301cd42e3c247d9f!8m2!3d12.279523!4d76.6679805!16s%2Fg%2F11vt6kj2pb?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=852a43e3-1bfa-4696-80ff-16f732885e99","There are people selling all kinds of fruits outside, get the nelli kai with salt and chilli powder and mango during mango season.",Early morning is best. You can either walk up the hill till you reach the bull or you can take the steps and you will meet the bull around 500 steps.,Around the city,,It’s open all day.,"The iconic Nandi Bull on Chamundi Hill in Mysore was built in 1659 AD by Maharaja Dodda Devaraja Wodeyar, who also commissioned the famous 1,000-step stairway to the hilltop. Standing 16 feet tall and 24 feet long, this 350-year-old monument is India's 3rd largest Nandi statue, carved  from a single black granite http://boulder.It is also the 7th largest monolith in the country. The bull sits in a unique posture with its left foreleg folded upward as if about to rise. A ritual followed by people (mostly children) is to pass through the left leg of the bull. Eleanor Roosevelt also did the same when she visited Mysore. The Nandi bull keeps getting bigger in size little by little because of the dust and moisture that sits on it. So some people believe that the bull will someday stand up and that will be the end of the world."
Chamundi Hill Steps,"I love going here. My friends and I used to go here every Sunday morning and climb all the way up. Great views. Good outdoor activity to do with friends. I have such fond childhood memories of this place. Good workout to some, pilgrimage to some.",,"https://www.google.com/maps/place/Chamundi+hills+steps+starting+point/@12.2841423,76.6660513,19z/data=!4m6!3m5!1s0x3baf6f26a285b60f:0x58f13a6403ab27f0!8m2!3d12.2843906!4d76.6664463!16s%2Fg%2F11s3y5q4dd?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",,"Early morning. Around 5 - 5:30. ",Around the city,,Its open all the time.,"The stone stairway consists of 1,000 steps. These steps were built in 1659 during the reign of King Dodda Devaraja Wodeyar (1659-1673). The end of the steps leads to the Chamudeshwari temple. Approximately halfway up the steps (600-700) sits a magnificent statue of Nandi Bull. There is also a big rock around 800-900 steps from you can see the full city.  You can find some small carts selling fruits and juice etc on the way. Many devootees climb the steps and smear kunkum and haldi on steps, so the whole stairway is red and yellow. You spot some wildlife - peacocks, hoopees, mangoose and leapoards. You can finish the climb in an hour or less."
Downtown Burger,Everyone who grew up here knows this place. It just has too many fans and they deserve it.,"Veg, non veg","https://www.google.com/maps/place/Down+Town+Fast+Food+Mysore/@12.3247169,76.627336,17z/data=!4m6!3m5!1s0x3baf7b96bc2dd1ff:0x3a9bf0d9d0e5a514!8m2!3d12.3247302!4d76.6309415!16s%2Fg%2F11fn74j5v8?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Pulled chicken burger and Chicken fillet burger.,For a quick snack in the evening.,Food,,12:30 pm – 3 pm and 5:30pm – 9:30 pm. They are closed on Mondays.,"Downtown Burger has been a loved by the people in Mysore since 1991. It is the city's oldest burger joints. A pioneer in introducing Western fast food culture to the city. This was started in the pre-kfc and pre-McDonald’s era and a go-to place for the kids who grew up in the city in the 90’s. Even today if I ask anyone from who grew up in Mysore if they want anything from Mysore, their first request is “Can you get me a downtown burger?”"
The Organic Cafe and Bakehouse,"Love the vibe here. Such a cosy space to spend a nice evening. I have made so many friends here. They also have a small organic shop inside that sell clothing, decor, skin and body care and I love browsing here.",Veg,"https://www.google.com/maps/place/The+Organic+Cafe+%26+Bakehouse/@12.332371,76.6285133,21z/data=!4m6!3m5!1s0x3baf7b7b11452fd3:0xa4b1040b30daf00d!8m2!3d12.3322945!4d76.6284563!16s%2Fg%2F11gycctkk7?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Desserts, healthy drinks (rainbow juice particularly), Rabbit salad bowl and so many more. They also sell some packaged things for your home kitchen like chocolate peanutbutter spread, seed crackers. Love them.",Anytime of the day.,"Coffee, Food, Shopping",,9 am – 9 pm,
Sihi,Nice people.,"Veg, non veg","https://www.google.com/maps/place/SIHI,+Patisserie+and+Boulangerie/@12.3257253,76.6272074,17z/data=!4m6!3m5!1s0x3baf7b1ec3c63739:0xb38712d52db11993!8m2!3d12.3256758!4d76.6272573!16s%2Fg%2F11sqxdxqps?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Earl grey lemon cake, chicken ghee roast burger, good desserts.",Brunch,"Coffee, Food",,10 am – 9:30 pm. They are closed on Wednesdays.,
Hills Momos,"A fan favorite. Loved by all. My favorite Baskin Bobins is right opposite to this place, so when I go here I have some tandoori momos first and then belt some ice cream after. Just FYI, there is no seating here, so you’ll have to stand and eat or eat in a car or gaadi.","Veg, non veg","https://www.google.com/maps/place/Hills+Special+Momos/@12.3260314,76.6046695,16z/data=!4m7!3m6!1s0x3baf7b14c4d6479b:0x9a9fe034a8e24e33!8m2!3d12.3260314!4d76.6141967!15sCgpoaWxscyBtb21vWgwiCmhpbGxzIG1vbW-SAQ9tb21vX3Jlc3RhdXJhbnSqATIQATIeEAEiGtNfu6VH_y-5XQ1QDJFEVLmJCDZt14tesozuMg4QAiIKaGlsbHMgbW9tb-ABAA!16s%2Fg%2F11f6c_cblh?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=d34509b5-f531-4ab9-82dd-88b6ef8c8be7",,"Evenings ",Food,,3:30–10 pm,
Incognito,"Good place to go in the monsoon and work because it opens up to a nice courtyard. They also have ducks roaming around the cafe. ","Veg, non veg","https://www.google.com/maps/place/Incognito/@12.3037175,76.6818653,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf71003ba108b7:0x9ec5e283bcea360!8m2!3d12.3037175!4d76.6818653!16s%2Fg%2F11w21fshbj?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",I’ve only had coffee here and it was nice.,Post lunch.,"Coffee, Food",,11 am – 11 pm,
Mysore Zoo,"I love this zoo. I loved the animals here. I also used to teach here. If any parents are reading this, they have a youth club program that is super vaulable. I was one of the students and I learnt so much about animals and nature. 

Don’t carry anything plastic they will not allow it. Please don’t litter anywhere or tease the animals. They have golf carts if you are traveling with elderly parents, beautiful pregnant ladies or very very teeny tiny babies. ",,"https://www.google.com/maps/place/Sri+Chamarajendra+Zoological+Gardens+(Mysuru+Zoo)/@12.3031938,76.662032,18z/data=!4m7!3m6!1s0x3baf7023040e7795:0xea57334ccb6cbfcb!8m2!3d12.3024092!4d76.6638194!15sCgpNeXNvcmUgem9vWgwiCm15c29yZSB6b2-SAQN6b2-qATwKCS9tLzA0NXZodBABMh0QASIZqMuWmpA99T_VMOHLK3jqFuHzktXCgW5PKzIOEAIiCm15c29yZSB6b2_gAQA!16zL20vMDQ1dmh0?entry=tts&g_ep=EgoyMDI1MDkyMi4wIPu8ASoASAFQAw%3D%3D&skid=2d05f0de-8b8a-4f65-8bb9-e28d2b596e06",,Right when they open and avoid weekends and school summer holidays.,Around the city,150 and they charge a camera price if you are taking DSLRs.,8:30 am–5:30 pm and they are closed on Tuesdays.,"Sri Chamarajendra Zoological Gardens, established in 1892 by Sri Chamarajendra Wodeyar Bahadur as ""Khas-Bangale"" as a modest 10.9-acre private royal zoo attached to the summer palace next to it. He appointed German botanist Gustav Hermann Krumbeigel (who also designed Bengaluru's Lalbagh) to design it. In 1907 an additional 6.22 acres was included and  subsequently was expanded to 45 acres. The first and prominent superintendent was A.C. Hughes (from South Wales), who served from 1892–1924. Together with Sir Mirza Ismail and G.H. Krumbiegel, the zoo was modernized with innovative, naturalistic enclosures. The original animal enclosures were carved out of the Summer Palace gardens and designed to be spacious, with a strong emphasis on the comfort and well-being of the animals, veryunusual for that era. Currently is spreads over acres including the 77.02-acre Karanji Lake. The Maharaja's personal collecting expeditions to Europe and Africa brought exotic species like giraffes, ape, polar bear, penguins etc. The zoo's management transitioned through various governmental bodies - initially under royal patronage, then managed at various times by the Horticulture Department, the Department of Parks and Gardens, and later the Forest Department. Administrative control eventually transferred to the Zoo Authority of Karnataka in 1979, making it the first such autonomous zoo management body in the country. Mysore Zoo earned worldwide acclaim for achieving the world's first caesarian section delivery performed on an elephant, bringing it international recognition in veterinary science. The institution also holds the Guinness World Record through its Shuka Vana for housing over 2,000 bird species in a single aviary. 

The zoo houses many special animals like the white tiger (who is an icon) and it was home to Polo, the only gorilla in the country for a long time. There is a good story here - Polo, a Western Lowland Gorilla born in 1972 at Dublin Zoo, Ireland, became one of Mysore Zoo's most beloved and iconic residents after arriving on August 8, 1995, to join female gorilla Sumathi. After Sumathi's death in 2001 from cardiac arrest, Polo lived alone for the rest of his life. He was bilingual—responding to commands in both English and Kannada. He has a best friends Wali, a chimpanzee. Zoo authorities made repeated efforts to find him a girlfriend, even reaching out to international zoos, but were unsuccessful. Polo outlived the average gorilla lifespan of 35 years, surviving to 43, making him one of the oldest in captivity in India. In his final month, Polo suffered from respiratory problems, reduced appetite, and lethargy. He died in April 2014 after a period of declining health, and was buried next to his longtime friend Wali, a chimpanzee. The zoo maintains India's largest elephant population with 10 current residents among 34 total elephants that have lived there. The 1,450-specimen sanctuary represents 168+ species from 25+ countries. Five acres were dedicated to the Natural History Museum, significantly enhancing its educational role in wildlife awareness. The zoo launched comprehensive animal adoption and rescue schemes, including the notable Koorghalli Rescue program, furthering its mission in conservation, education, and animal welfare. "
